citekey;zotero_key;author;year;title;field;tags;status
TrumpsFirstYear2018;HEIXDPUU;Pierce;2018;Trump’s First Year on Immigration Policy: Rhetoric vs. Reality;Political Science;Trump, immigration;claude
pileckiMoralExclusionJustification2014;3SIVE8JV;Pilecki;2014;Moral exclusion and the justification of U.S. counterterrorism strategy: Bush, Obama, and the terrorist enemy figure;Discourse Analysis;Obama, terrorism;zotero
pilyarchukConceptualMetaphorsDonald2018;7XXSTP4A;Pilyarchuk;2018;Conceptual Metaphors in Donald Trump’s Political Speeches: Framing his Topics and (Self-)Constructing his Persona;Discourse Analysis;Trump, frames, metaphor;claude
pirroPopulistsPowerConspiracy2023;6EFZBV8D;Pirro;2023;Populists in power and conspiracy theories;Political Science;conspiracy, populism;claude
plantinBonnesRaisonsEmotions2011a;F6ZM2DJR;Plantin;2011;Les bonnes raisons des émotions;Rhetoric & Argumentation;argumentation, emotion;claude
andreUMR5191ICAR;TFBY676Z;Plantin;2021;L'émotion comme condition interactionnelle;Discourse Analysis;emotion;claude
plutchikNatureEmotionsHuman2001;PRSK88ST;Plutchik;2001;The Nature of Emotions: Human emotions have deep evolutionary roots, a fact that may explain their complexity and provide tools for clinical practice;Psychology & Neuroscience;emotion;claude
ponterioVERBALIRONYSHORT1987;66TKH5X2;Ponterio;1987;Verbal Irony in the Short Fiction of Charles Nodier: A Computer-Assisted Study (france);Literature, Corpus Linguistics;hyperbole_&_figures;claude
postalCrossoverPhenomena1971;EIJM6S97;Postal;1971;Cross-over phenomena;Grammar;grammar;claude
quinnschoneContestedIllnessContext2019a;FDYI2X77;Quinn Schone;2019;Contested illness in context: an interdisciplinary study in disease definition;Philosophy;definition, health_&_pandemic;claude
rachmanReturnFear1979;5A7BMSTE;Rachman;1979;The return of fear;Psychology & Neuroscience;fear;claude
raissouniLanguageAmericanPolitical2020;XH4RB2RK;Raissouni;2020;language of American political discourse: Aristotle's rhetorical appeals as manifested in Bush's and Obama's speeches on the war on terror;Rhetoric & Argumentation;Bush, Obama, rhetorical_proofs, terrorism;claude
rapoportFourWaves2019;YZ4UWLDK;Rapoport;2013;Four Waves of Modern Terrorism;History;terrorism;claude
rayTeaPartyMovement2025;76AAW2QI;Ray;2025;Tea Party movement;History;conservatism, american_political_history;claude
IntroductionRhetoriqueReboul;NJP3R9VD;Reboul;2001;Introduction à la rhétorique : Théorie et pratique;Rhetoric & Argumentation;argumentation, hyperbole_&_figures, rhetorical_proofs;claude
recordBoundingGlobalWar2003;7JLFRPW6;Record;2003;Bounding the Global War on Terrorism:;Political Science;terrorism, war_&_violence;claude
reimerProblemDeadMetaphors1996;2UYAFLWY;Reimer;1996;The Problem of Dead Metaphors;Philosophy;metaphor, semantics;claude
reissExpectancyModelFear1991;ZHZFFDV8;Reiss;1991;Expectancy model of fear, anxiety, and panic;Psychology & Neuroscience;fear;claude
reissTraitAnxietyIt1997;THMI76K9;Reiss;1997;Trait anxiety: It's not what you think it is;Psychology & Neuroscience;fear;claude
resendeConstructionThreatsEnemies2023;CZ6E9DPS;Resende;2023;The construction of threats and enemies in US presidential discourses (1993-2013);Discourse Analysis;Bush, Obama, political_discourse, threat;zotero
reyesTrumpCultPersonality2020;RP65TIG9;Reyes;2020;I, Trump: The cult of personality, anti-intellectualism and the Post-Truth era;Discourse Analysis;Trump, populism, post-truth;claude
ritterRecoveringHyperboleReImagining;FJIJ6UCJ;Ritter;2010;Recovering Hyperbole:  Re-Imagining the Limits of Rhetoric for an Age of Excess;Rhetoric & Argumentation;hyperbole_&_figures;claude
robertsPerformingCrisisTrump2024;PDTQHYGJ;Roberts;2024;Performing Crisis? Trump, Populism and the GOP in the Age of COVID-19;Political Science;Trump, health_&_pandemic, populism;claude
robertsWhyPeopleUse1994;BUFKSE2A;Roberts;1994;Why Do People Use Figurative Language?;Psychology & Neuroscience;cognition, hyperbole_&_figures, metaphor;claude
robinFearHistoryPolitical2004a;ARBZDNN3;Robin;2004;Fear: the history of a political idea;Political Science;fear, ideology;claude
royalFearRhetoricOther2011;D62GDQYC;Royal;2011;Fear, Rhetoric, and the “Other”;Rhetoric & Argumentation;enemy_&_otherness, fear, racism_&_prejudice;claude
ryspayevaLexicalMeansNomination2021;DRL4WT8J;Ryspayeva;2021;Lexical Means of Nomination of the Emotional Concept “Fear” in the Kazakh and English Languages;Linguistics;emotion_words, fear;claude
safireSafiresPoliticalDictionary2008;I8ITNUYB;Safire;2008;Safire's political dictionary;Political Science;political_discourse, semantics;claude
salaminiGramsciMarxistTheory1982;DAFSR35G;Salamini;1982;Gramsci and Marxist Theory.;Sociology;ideology;claude
saussureManipulationIdeologiesTwentieth2005;UTRA9AY5;Saussure;2005;Manipulation and ideologies in the twentieth century: discourse, language, mind;Discourse Analysis, Political Science;cognition, ideology, manipulation;zotero
schaefferKeyFactsAmericans2024;2PXJIYPD;Schaeffer;2024;Key facts about Americans and guns;Sociology;war_&_violence;claude
scharer1993;WEUVDYQG;Schärer;1993;Communication politique  Nouvelle approche rhétorique et argumentative du discours;Rhetoric & Argumentation;argumentation, political_discourse;claude
schellingDispersalDeterrenceDamage1961;2NIIWTPS;Schelling;1961;Dispersal, Deterrence, and Damage;Political Science;threat, war_&_violence;claude
schererVocalAffectExpression1986;4ZLNBZE8;Scherer;1986;Vocal affect expression: A review and a model for future research.;Psychology & Neuroscience;emotion;claude
schiappaDefiningRealityDefinitions2003;LM5S669D;Schiappa;2003;Defining reality: definitions and the politics of meaning;Rhetoric & Argumentation;argumentation, definition;claude
schmidCognitiveEffectsShell1999;A2IDRTEI;Schmid;1999;Cognitive Effects of Shell Nouns;Grammar, Linguistics;nominalization, shell_nouns, grammar;claude
Schmid+2000;76C9BMCC;Schmid;2000;English abstract nouns as conceptual shells;Grammar, Linguistics;nominalization, shell_nouns, grammar;claude
schmidShellNounsEnglish2018;7WMNQQRN;Schmid;2018;Shell nouns in English – a personal roundup;Grammar, Linguistics;nominalization, shell_nouns, grammar;claude
schneiderLinguisticInquiriesDonald2020;7FML6LWD;Schneider;2020;Linguistic inquiries into Donald Trump's language: from 'fake news' to 'tremendous success';Linguistics;Trump, political_discourse;claude
schreckerManyAreCrimes1998;5XH7X6EA;Schrecker;1998;Many are the crimes: McCarthyism in America;History;conspiracy, enemy_&_otherness, fear, american_political_history;claude
schroepferPursuingEnemiesFreedom2008;RWBU6SEW;Schroepfer;2008;Pursuing the Enemies of Freedom: Religion in the Persuasive Rhetoric of the Bush Administration;Rhetoric & Argumentation;Bush, religion;claude
pekrun2014;Y43VCDG3;Schuman;2014;Concepts and structures of emotions;Psychology & Neuroscience;emotion;claude
seargeantArtPoliticalStorytelling2020;YYXNFHNH;Seargeant;2020;The Art of Political Storytelling: Why Stories Win Votes in Post-truth Politics;Discourse Analysis;narratives, post-truth;claude
SearleSpeechActs1969;AAN7BFKL;Searle;1969;Speech Acts: An Essay in the Philosophy of Language;Pragmatics;speech_acts;claude
searleSPEECHACTSRECENT1975;G7IG2DAE;Searle;1975;Speech Acts and Recent Linguistics*;Pragmatics;speech_acts;claude
searleExpressionMeaningStudies1979;QDY2M2DH;Searle;1979;Expression and Meaning: Studies in the Theory of Speech Acts;Pragmatics;metaphor, speech_acts;claude
searleMakingSocialWorld2010;9P77QPJF;Searle;2010;Making the social world: the structure of human civilization;Philosophy;speech_acts, social_theory;claude
shaheenReelBadArabs2015;79Q6S9MA;Shaheen;2015;Reel bad Arabs: How Hollywood vilifies a people;History;racism_&_prejudice;zotero
sherifIntergroupConflictCooperation;PYWKLLVT;Sherif;1961;"Intergroup conflict and cooperation; the Robbers Cave experiment";Psychology & Neuroscience;enemy_&_otherness, war_&_violence;claude
siepmannExtentCollocationalDifference2014;YTXXFEWM;Siepmann;2014;Extent of Collocational Difference between Languages: a Corpus-based Study of Emotion Nouns;Corpus Linguistics;emotion_words;claude
wolffSociologyGeorgSimmel;UXD8BP2B;Simmel;1950;The sociology of Georg Simmel;Sociology;enemy_&_otherness, social_theory;claude
smithReligiousRhetoricEthics2008;4ASC3G7Q;Smith;2008;Religious Rhetoric and the Ethics of Public Discourse: The Case of George W. Bush;Political Science;Bush, religion;claude
smithAppraisalComponentsCore1993;T5TMSCM6;Smith;1993;Appraisal components, core relational themes, and the emotions;Psychology & Neuroscience;cognition, emotion, fear, legitimization;zotero
solomonRoutledgeCompanionPhilosophy2020;TAUDHWLT;Solomon;2020;The Routledge companion to philosophy of medicine;Philosophy;health_&_pandemic;claude
soltaniCompassionateConservatismVS2010;348Q9IX3;Soltani;2010;Compassionate Conservatism VS Bush Doctrine;Political Science;Bush, conservatism;claude
sontagIllnessMetaphor;7SFS94G9;Sontag;1977;Illness as Metaphor;Literature;health_&_pandemic, metaphor;claude
sorlinLanguageManipulationHouse2016;WBZFEV9M;Sorlin;2016;Language and Manipulation in House of Cards;Pragmatics;manipulation, political_discourse;claude
sorlinPragmaticsManipulationExploiting2017;CFAX8H4I;Sorlin;2017;The pragmatics of manipulation: Exploiting im/politeness theories;Rhetoric & Argumentation;argumentation, manipulation, politeness;zotero
sorlinStylisticsYouSecondperson2022;5V4P8364;Sorlin;2022;The stylistics of 'you': second-person pronoun and its pragmatic effects;Linguistics;pronouns;claude
spencerQuestioningConceptNew2006;TVUNQGIS;Spencer;2006;"Questioning the Concept of ""New Terrorism’";Political Science;definition, terrorism;claude
sperberRelevanceCommunicationCognition1995;SL7VHEAT;Sperber;1995;Relevance: communication and cognition;Pragmatics;cognition;claude
fiebig-vonhaseEnemyImagesAmerican1997;DFT7RSEL;Spillmann;1997;Some Sociobiological and Psychological Aspects of “Images of the Enemy”;Psychology & Neuroscience;enemy_&_otherness, immigration, war_&_violence;claude
spirerMisusedStatistics1998;ZXQAYK4R;Spirer;1998;Misused statistics;Sociology, Mathematics & Statistics;manipulation;claude
stacksIntegratedApproachCommunication2019a;67VRS4RA;Stacks;2019;An Integrated Approach to Communication Theory and Research;Sociology;persuasion;claude
steenPragglejazPracticeFinding2010;9Z4ZYKYT;Steen;2010;Pragglejaz in practice: Finding metaphorically used words in natural discourse;Linguistics;metaphor, methodology;claude
stepichAnalogicalInstructionInformation1988;VNICLJ59;Stepich;1988;Analogical instruction within the information processing paradigm: effective means to facilitate learning;Psychology & Neuroscience;cognition, metaphor;claude
stevensonEmotiveMeaningEthical1937;9KQKAKVD;Stevenson;1937;The Emotive Meaning of Ethical Terms;Philosophy;emotive_words;claude
stevensonEthicsLanguage1944;X484ZRHB;Stevenson;1944;Ethics and language.;Philosophy;definition, emotive_words;claude
stewartLaughterEffectivePresidential2024;JUNZGAF9;Stewart;2024;Laughter and effective presidential leadership: A case study of Ronald Reagan as the ‘great communicator’;Political Science;political_discourse, rhetorical_proofs;claude
stoverMetaphorRelevanceTheory2010;N75BGJFR;Stöver;2010;Metaphor and relevance theory: a new hybrid model;Pragmatics;cognition, metaphor;claude
strobelLinguisticRealizationsConcept2021;MLZGI9AD;Ströbel;2021;Linguistic Realizations of the Concept of FEAR;Linguistics;emotion_words, fear, frames;claude
zotero-item-8710;YC5ZJLLC;Suire;2026;Le sobriquet chez Donald Trump : un étude morphosyntaxique, sémantique et pragmatique;Grammar;Trump, emotive_words, enemy_&_otherness, grammar;claude
taberMotivatedSkepticismEvaluation2006a;AEVWKRAH;Taber;2006;Motivated Skepticism in the Evaluation of Political Beliefs;Political Science;cognition, ideology;claude
tannenbaumAppealingFearMetaanalysis2015;LLKV6XEM;Tannenbaum;2015;Appealing to fear: A meta-analysis of fear appeal effectiveness and theories.;Psychology & Neuroscience;fear_appeal, persuasion;claude
taylorAffordancesMetaphorDiachronic2022a;JXIVCVGA;Taylor;2022;The affordances of metaphor for diachronic corpora & discourse analysis: water metaphors and migration;Corpus Linguistics;immigration, metaphor;claude
trangerudAmericanCyrusHow2021;ASHBDU5S;Trangerud;2021;The American Cyrus: How an Ancient King Became a Political Tool for Voter Mobilization;Political Science;Trump, religion;claude
traugottRiseEpistemicMeanings1989;GW6Y8834;Traugott;1989;On the Rise of Epistemic Meanings in English: An Example of Subjectification in Semantic Change;Linguistics;modality, semantics;claude
truanPoliticsPersonReference2021;KT6LALU3;Truan;2021;The Politics of Person Reference: Third-person forms in English, German, and French;Pragmatics;political_discourse, pronouns;claude
utychFearLoathingAffect2022;QHEHFVEZ;Utych;2022;Fear or Loathing: Affect, Political Economy, and Prejudice;Political Science;emotion, racism_&_prejudice;claude
vaisseGeorgeBushAtil2008;TZLLVSNU;Vaïsse;2008;George W. Bush a-t-il trahi, tué ou transfiguré le conservatisme américain ?:;History;Bush, conservatism, american_political_history;claude
vanhookStocksSurgesDemographic2024;665KLB5J;Van Hook;2024;Beyond Stocks and Surges: The Demographic Impact of the Unauthorized Immigrant Population in the United States;Sociology;immigration;claude
vandijkEliteDiscourseRacism1993;6NMU48N5;Van Dijk;1993;Elite Discourse and Racism;Discourse Analysis;enemy_&_otherness, racism_&_prejudice;claude
vandijkWhatPoliticalDiscourse1997;PE55ZMUM;Van Dijk;1997;What is Political Discourse Analysis?;Discourse Analysis;political_discourse;zotero
vandijkIdeologyMultidisciplinaryApproach2000;26UB4ZWH;Van Dijk;2000;Ideology: a multidisciplinary approach;Discourse Analysis;ideology;claude
vandijkIdeologyDiscourseAnalysis2006;GUD32P3F;Van Dijk;2006a;Ideology and discourse analysis;Discourse Analysis;ideology;zotero
vandijkDiscourseManipulation2006;IT8HX44K;Van Dijk;2006b;Discourse and manipulation;Discourse Analysis;cognition, manipulation;claude
vandijkDiscourseContextSociocognitive2010;FS9X9PY7;Van Dijk;2010;Discourse and context: a sociocognitive approach;Discourse Analysis;cognition;claude
vandijkStructuresDiscourseStructures2012;LHHWZU3A;Van Dijk;2012;Structures of Discourse and Structures of Power;Discourse Analysis;ideology;claude
vandykeUnderstandingTeaParty2014;DD3N59D6;Van Dyke;2014;Understanding the Tea Party movement;Political Science;conservatism;claude
viktorovitchPouvoirRhetoriqueApprendre2021;XMLWMXLT;Viktorovitch;2021;Le pouvoir rhétorique: apprendre à convaincre et à décrypter les discours;Rhetoric & Argumentation;argumentation, manipulation, persuasion;claude
viktorovitchLArtNePas2025;ZFMTVCVC;Viktorovitch;2024;L'Art de ne pas dire Suivi de Chroniques d'un saccage du langage;Rhetoric & Argumentation;manipulation, post-truth;claude
virtanenDiscoursesLinguisticMeets2009;BIRB28VD;Virtanen;2009;Discourses linguistic meets corpus linguistics: Theoretical and methodological issues in the troubled relationship;Corpus Linguistics;methodology;claude
wahlMediaMadnessPublic1995;AETZJTE9;Wahl;2003;Media madness: public images of mental illness;Sociology;health_&_pandemic, media;claude
walkerCensorshipLogocracyDemocracy2008a;EITKDS89;Walker;2008;Censorship, Logocracy and Democracy;Philosophy;ideology, manipulation;claude
waltersImmigrationClashesParty2024;TBKLL2QF;Walters;2024;Immigration Clashes, Party Polarization, and Republican Radicalization: Tracking Shifts in State and National Party Platforms since 1980;Political Science;conservatism, far_right, immigration;claude
waltonPlaceEmotionArgument1992;C5SXT93N;Walton;1992;The place of emotion in argument;Rhetoric & Argumentation;argumentation, emotion;claude
waltonScareTactics2000;AXV95M6K;Walton;2000;Scare Tactics;Rhetoric & Argumentation;argumentation, fear_appeal, threat;claude
waltonInformalLogicPragmatic2008;WXFTDKM7;Walton;2008;Informal logic: a pragmatic approach;Rhetoric & Argumentation;argumentation;claude
wangCriticalDiscourseAnalysis2010;8FJX6DCN;Wang;2010;A Critical Discourse Analysis of Barack Obama’s Speeches;Discourse Analysis;Obama, political_discourse;claude
wangTrumpAlwaysRambling2018;6GYS94PV;Wang;2018;Is Trump always rambling like a fourth-grade student? An analysis of stylistic features of Donald Trump’s political discourse during the 2016 election;Corpus Linguistics;Trump, political_discourse;claude
OverstaysExceededIllegal;IABJ6HKS;Warren;2019;Overstays Exceeded Illegal Border Crossers after 2010 Because Illegal Entries Dropped to Their Lowest Level in Decades;Sociology;immigration;claude
wedeenAmbiguitiesDominationPolitics1999;XRNUVL53;Wedeen;1999;Ambiguities of domination: politics, rhetoric, and symbols in contemporary Syria;Political Science;ideology, manipulation;claude
wertschCollectiveMemoryNarrative2008;LINM2IQK;Wertsch;2008;Collective Memory and Narrative Templates;Psychology & Neuroscience;cognition, narratives;claude
whartonRelevanceEmotion2021;2NF9L72B;Wharton;2021;Relevance and emotion;Pragmatics;cognition, emotion;claude
whartonPragmaticsEmotion2023;TEHRUT2R;Wharton;2024;Pragmatics and Emotion;Pragmatics;emotion;claude
whartonPragmaticsEmotionArgument2022;DV997ZH2;Wharton;2022;The pragmatics of emotion, argument and conflict;Pragmatics;argumentation, emotion, fear, metaphor;claude
whiteheadTakingAmericaBack2020;PPSIVUHR;Whitehead;2020;Taking America back for God: Christian nationalism in the United States;Sociology;conservatism, far_right, religion;claude
wierzbickaWhatsNounHow1986;AG5PEKYF;Wierzbicka;1986;What's in a Noun? (Or: How Do Nouns Differ in Meaning from Adjectives?);Linguistics;nominalization, semantics;claude
wierzbickaEmotionsLanguagesCultures1999;HLF5ABHC;Wierzbicka;1999a;Emotions across languages and cultures: diversity and universals;Linguistics;emotion_words, semantics;claude
Wierzbicka_1999;4UX2Y2ZC;Wierzbicka;1999b;Emotional universals;Linguistics;emotion, emotion_words;claude
williamsonTeaPartyRemaking2011;H3TC2RNC;Williamson;2011;The Tea Party and the Remaking of Republican Conservatism;Political Science;conservatism;claude
horn2006;JKENW9YA;Wilson;2006;Relevance Theory;Pragmatics;cognition;claude
wodakCriticalDiscourseAnalysis2004;553ZTLVK;Wodak;2004;Critical Discourse Analysis;Discourse Analysis;ideology;claude
wodakDiscoursePoliticsAction2009;FIW3PZ2G;Wodak;2009;The discourse of politics in action: politics as usual;Discourse Analysis;political_discourse;claude
wodakPoliticsFearWhat2015;LMR77UXQ;Wodak;2015;The politics of fear: what right-wing populist discourses mean;Discourse Analysis, Political Science;conservatism, fear, ideology, populism, racism_&_prejudice;zotero
wodakRoutledgeHandbookLanguage2018;KXAFCSZI;Wodak;2018;The Routledge handbook of language and politics;Discourse Analysis;ideology, political_discourse;claude
wodakMethodsCriticalDiscourse2016;JS6VHZ78;Wodak;2016;Methods of critical discourse studies;Discourse Analysis, Linguistics;ideology, political_discourse, racism_&_prejudice, methodology;claude
wodakDiscursiveConstructionNational2022;FAY4HXMP;Wodak;2009;The Discursive Construction of National Identity;Discourse Analysis;enemy_&_otherness, ideology;claude
wongSyntheticPersonalizationBarack2016;VX7X3BN4;Wong;2016;Synthetic personalization of Barack Obama at the 2008 US Democratic National Convention: a social semiotic multimodal analysis of a staged political context;Discourse Analysis;Obama, political_discourse;claude
zajoncAttitudinalEffectsMere1968;L4GRAJ54;Zajonc;1968;Attitudinal effects of mere exposure.;Psychology & Neuroscience;cognition, hyperbole_&_figures;claude
zarefskyPresidentialRhetoricPower2004;3EMIAWWF;Zarefsky;2004;Presidential Rhetoric and the Power of Definition;Rhetoric & Argumentation;argumentation, definition, political_discourse, terrorism;zotero
zelizerFierceUrgencyNow2015;EL44QPKB;Zelizer;2015;The Fierce Urgency of Now: Lyndon Johnson, Congress, and the Battle for the Great Society;History;american_political_history;claude
zhanNeuralBasisFear2018;SK5F59TI;Zhan;2018;The Neural Basis of Fear Promotes Anger and Sadness Counteracts Anger;Psychology & Neuroscience;emotion, fear;claude
boyd2022the;manual:boyd2022;Boyd;2022;The development and psychometric properties of LIWC-22;Corpus Linguistics, Psychology & Neuroscience;emotion_words, methodology;claude
kilgarriff2014the;manual:kilgarriff2014;Kilgarriff;2014;“The Sketch Engine: ten years on”;Corpus Linguistics;methodology;claude
moncomble2024app;manual:moncomble2024;Moncomble;2024;‘APP_Extractor’;Corpus Linguistics;methodology;claude
